series,episode,baker,baker_last_name,signature_bake,show_stopper,technical,result,baker_age,baker_occupation,hometown
8,1,Steven,Carter-Bailey,Bonfire Night Cake,'A Baker's Lunch' Cake,6,STAR BAKER,34,Marketer,"Watford, Hertfordshire"
8,1,Tom,Hetherington,Gilded Pear and Cardamom Cake,'Stack of Books' Cake,7,IN,29,Architect,Edinburgh
8,1,Yan,Tsou,Windfall Apple Crumble Cake,'Banana-ramen' Cake,4,IN,46,Laboratory research scientist,North London
8,2,Chris,Geiger,Chocolate Chia Seed Biscuits with Whisky Caramel Filling,'The Great British Sail Off' Game,11,OUT,50,Software developer,Bristol
8,2,Flo,Atkins,Gin Jam Butties,'Pick My Bones' Game,10,IN,71,Retired,Merseyside
8,2,James,Hillery,Rhubarb and Custard Whirls,'Coppit' Game,3,IN,46,Banker,"Brentwood, Essex"
8,2,Julia,Chernogorova,Middle Eastern Delight Sandwich Biscuits,'A British Baking' Game,4,IN,21,Aviation Broker,"Crawley, West Sussex"
8,2,Kate,Lyon,Coconut Seashells for a Titanic Afternoon Tea,'Jungle' Game,8,IN,29,Health and safety inspector,Merseyside
8,2,Liam,Charles,Coffee Malted Pecan Shorties,'Classroom Classics' Game,7,IN,19,Student,North London
8,2,Sophie,Faldo,Lemon Limoncino Sandwich Biscuits,'Snakes and Ladders' Game,2,IN,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey"
8,2,Stacey,Hart,Sparkly Chocolate and Marshmallow Fluff Cookies,'Get to School' Game,9,IN,42,Former school teacher,"Radlett, Hertfordshire"
8,2,Steven,Carter-Bailey,Amarpressi Biscuits,'Check Bake' Game,6,STAR BAKER,34,Marketer,"Watford, Hertfordshire"
8,2,Tom,Hetherington,Coffee and Amaretto Kisses,'Drain Pipes and Ladders' Game,5,IN,29,Architect,Edinburgh
8,2,Yan,Tsou,'Mrs. Marian's PB 'n' B' Biscuits,'Adventures in Bakeland' Game,1,IN,46,Laboratory research scientist,North London
8,3,Flo,Atkins,Cinnamon and Orange Teacakes,'Davy Jones' Locker' Bread Sculpture,7,OUT,71,Retired,Merseyside
8,3,James,Hillery,Nordic Teacakes,'Owl in the Woods' Bread Sculpture,9,IN,46,Banker,"Brentwood, Essex"
8,3,Julia,Chernogorova,Earl Grey Dried Fruit Teacakes,'The Snail Under a Mushroom' Bread Sculpture,2,STAR BAKER,21,Aviation Broker,"Crawley, West Sussex"
8,3,Kate,Lyon,Blueberry Buns,'Kraken' Bread Sculpture,10,IN,29,Health and safety inspector,Merseyside
8,3,Liam,Charles,Jamaican Spiced Teacakes,'Kneadapolitan' Bread Sculpture,5,IN,19,Student,North London
8,3,Sophie,Faldo,Tagine Teacakes,'Picnic Basket' Bread Sculpture,6,IN,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey"
8,3,Stacey,Hart,Cranberry and Cinnamon Teacakes,'Ascot Hat' Bread Sculpture,1,IN,42,Former school teacher,"Radlett, Hertfordshire"
8,3,Steven,Carter-Bailey,Madras Cocktail Teacakes,'The Bag I Knead' Bread Sculpture,3,IN,34,Marketer,"Watford, Hertfordshire"
8,3,Tom,Hetherington,Orange and Cranberry Teacakes,'Pink & Yellow Rose Centrepiece' Bread Sculpture,4,IN,29,Architect,Edinburgh
8,3,Yan,Tsou,'Mrs P's' Masala Chai Spiced Teacakes,'Basil the Vegetarian Dragon with his Pumpkin Hoard' Bread Sculpture,8,IN,46,Laboratory research scientist,North London
8,4,James,Hillery,'Windy City' Millionaire Shortbreads,Nutty Caramel Cake,2,IN,46,Banker,"Brentwood, Essex"
8,4,Julia,Chernogorova,Pecan Salted Caramel Millionaire Shortbreads,Poppy Seed Caramel Cake,9,IN,21,Aviation Broker,"Crawley, West Sussex"
8,4,Kate,Lyon,Salted Bay Caramel Millionaire Shortbreads,Sticky Toffee Apple Caramel Cake,6,STAR BAKER,29,Health and safety inspector,Merseyside
8,4,Liam,Charles,Salted Peanut Butter Millionaire Shortbreads,White Layered Ginger Caramel Cake,3,IN,19,Student,North London
8,4,Sophie,Faldo,Jaffa Millionaire Shortbreads,Bird's Nest Caramel Cake,4,IN,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey"
8,4,Stacey,Hart,Rum Salted Caramel Millionaire Shortbreads,Chocolate and Coffee Caramel Cake,1,IN,42,Former school teacher,"Radlett, Hertfordshire"
8,4,Steven,Carter-Bailey,Orange Macadamia Nut Millionaire Shortbreads,Caramel Crown Cake,7,IN,34,Marketer,"Watford, Hertfordshire"
8,4,Tom,Hetherington,Stem Ginger Caramel Shortbreads,Hummingbird Cake,5,OUT,29,Architect,Edinburgh
8,4,Yan,Tsou,'Lil' Red's Ginger and Nuts' Millionaire Shortbreads,Animals of the Rainforest Caramel Cake,8,IN,46,Laboratory research scientist,North London
8,5,James,Hillery,Orange and Ginger Steamed School Pudding,'The Missed Silver Jubilee' Trifle Terrine,7,OUT,46,Banker,"Brentwood, Essex"
8,5,Julia,Chernogorova,Orange & Treacle Steamed School Pudding,'Opulent Ornament' Trifle Terrine,3,IN,21,Aviation Broker,"Crawley, West Sussex"
8,5,Kate,Lyon,'Mr Darcy's Steamy Lake Scene' Steamed School Pudding,'My Great Great Nan's' Raspberry Trifle Terrine,8,IN,29,Health and safety inspector,Merseyside
8,5,Liam,Charles,Cherries & Lemons that are 'Baked Well','Cheers Lads' Trifle Terrine,2,IN,19,Student,North London
8,5,Sophie,Faldo,"Ginger, Fig and Honey Steamed School Pudding","Raspberry, Yuzu & White Chocolate Bûche Trifle Terrine",1,STAR BAKER,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey"
8,5,Stacey,Hart,Bakewell Tart Steamed School Pudding,Tropical Trifle Terrine,4,IN,42,Former school teacher,"Radlett, Hertfordshire"
8,5,Steven,Carter-Bailey,Lemon & Blackcurrant Drizzle Steamed School Pudding,'From Across the Jelly Pond' Trifle Terrine,5,IN,34,Marketer,"Watford, Hertfordshire"
8,5,Yan,Tsou,Mango Fruit Hat Steamed School Pudding,'Heart of a Hero' Trifle Terrine,6,IN,46,Laboratory research scientist,North London
8,6,Julia,Chernogorova,'Pies from the Tree' Decorative Pies,'Special Occasion' Pie,7,OUT,21,Aviation Broker,"Crawley, West Sussex"
8,6,Kate,Lyon,'Vegetarian Pie Faces' Decorative Pies,Potato Curry Pie with Mango & Chilli Glaze,5,IN,29,Health and safety inspector,Merseyside
8,6,Liam,Charles,'Standard FC' Decorative Pies,'Nan's Sunday Dinner' Pie,4,STAR BAKER,19,Student,North London
8,6,Sophie,Faldo,'The Four Seasons' Decorative Pies,Game Pie with Glazed Forest Fruits,2,IN,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey"
8,6,Stacey,Hart,'Love Theme' Decorative Pies,Indian Hand Raised Pie with Mango,6,IN,42,Former school teacher,"Radlett, Hertfordshire"
8,6,Steven,Carter-Bailey,'Fleetwood Mac' Decorative Pies,Christmas Pie,3,IN,34,Marketer,"Watford, Hertfordshire"
8,6,Yan,Tsou,'πr2' Decorative Pies,Chequerboard Pie,1,IN,46,Laboratory research scientist,North London
8,7,Kate,Lyon,'Happy Hour' Cocktail Cannoli,'Flavour Fusion' Sfogliatelle,6,IN,29,Health and safety inspector,Merseyside
8,7,Liam,Charles,'Just Doing Me' Cannoli,'Morning Delivery' Sfogliatelle,2,IN,19,Student,North London
8,7,Sophie,Faldo,'Classics with a Twist' Cannoli,'Classics' Sfogliatelle,3,IN,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey"
8,7,Stacey,Hart,My All Time Favourite Desserts,Pastry Surprise,4,IN,42,Former school teacher,"Radlett, Hertfordshire"
8,7,Steven,Carter-Bailey,Italian Style Cannoli,'Sicilian-style' Sfogliatelle,1,STAR BAKER,34,Marketer,"Watford, Hertfordshire"
8,7,Yan,Tsou,Cannoli Cocktails,Canadian-Style Sfogliatelle,5,OUT,46,Laboratory research scientist,North London
8,8,Kate,Lyon,Burrito Bedfordshire Clangers,'Liver Building Turret' Savoy Cake,2,IN,29,Health and safety inspector,Merseyside
8,8,Liam,Charles,'Take Out' Bedfordshire Clangers,'Fort Wizardore' Savoy Cake,5,OUT,19,Student,North London
8,8,Sophie,Faldo,Char Siu & Banana Praline Bedfordshire Clangers,Citrus with Green Apple Croquembouche Savoy Cake,4,IN,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey"
8,8,Stacey,Hart,Camembert & Onion and Apple & Blueberry Bedfordshire Clangers,'Bright' Lemon & Orange Savoy Cake,3,STAR BAKER,42,Former school teacher,"Radlett, Hertfordshire"
8,8,Steven,Carter-Bailey,'Mediterranean Medley' Bedfordshire Clangers,Chestnut Rum Savoy Cake,1,IN,34,Marketer,"Watford, Hertfordshire"
8,9,Kate,Lyon,Bellini and Valencian Orange Choux Buns,'Rainbow' Meringue Centrepiece,4,IN,29,Health and safety inspector,Merseyside
8,9,Sophie,Faldo,Strawberry & Rhubarb and Chestnut & Vanilla Choux Buns,'Tutu with Opera Filling' Meringue Centrepiece,1,STAR BAKER,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey"
8,9,Stacey,Hart,'Choux-nicorn and Choux-moji' Choux Buns,'Flamingos in Love' Meringue Centrepiece,2,OUT,42,Former school teacher,"Radlett, Hertfordshire"
8,9,Steven,Carter-Bailey,Key Lime Cheesecake and Bakewell Tart Choux Buns,'Some Air Over the Rainbow' Meringue Centrepiece,3,IN,34,Marketer,"Watford, Hertfordshire"
8,10,Kate,Lyon,"Roman Spelt, Coconut Kala Chana and Flower Breads","White Chocolate, Yuzu and Lychee Entremet",3,Runner-up,29,Health and safety inspector,Merseyside
8,10,Sophie,Faldo,"Spelt Boules, Mushroom Ciabatta and Orange Plaited Brioche",'Ode to the Honey Bee' Entremet,2,WINNER,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey"
8,10,Steven,Carter-Bailey,"Spelt & Rye, Toasted Garlic & Fontina and Sweet Chocolate Breads",'Yin Yang' Entremet,1,Runner-up,34,Marketer,"Watford, Hertfordshire"
